#Date_obs（UTC）, Mid_JD (days), g (mag), sigma_g (mag)
2017-04-14T06:04:59.557,2457857.75416154,21.34232000,0.14335524
2017-04-14T06:08:08.032,2457857.75634296,21.76150333,0.20599657
2017-04-14T06:11:16.403,2457857.75852318,22.31437000,0.33005681
2017-04-14T06:21:51.961,2457857.76587918,21.49752000,0.16823021
2017-04-14T06:25:10.544,2457857.76817759,21.91568667,0.24419198
2017-04-14T06:28:18.902,2457857.77035766,21.33628667,0.14114829
2017-04-14T06:31:27.943,2457857.77254564,20.99460333,0.10731090
2017-04-14T06:34:36.105,2457857.77472344,21.91407000,0.23968730
2017-04-14T06:37:44.381,2457857.77690256,21.87227000,0.24029448
2017-04-14T06:51:07.911,2457857.78620267,21.57268667,0.18313067
2017-04-14T06:54:16.277,2457857.78838284,21.49052000,0.16943749
2017-04-14T06:57:25.169,2457857.79056909,21.04373667,0.11240720
2017-04-14T07:00:34.928,2457857.79276537,21.28478667,0.13897152
2017-04-14T07:03:43.182,2457857.79494424,21.73355333,0.21160637
2017-04-14T07:06:51.790,2457857.79712720,22.09790333,0.29797871
2017-04-14T07:10:00.203,2457857.79930790,21.52545333,0.17773115
2017-04-14T07:13:10.074,2457857.80150549,21.05198667,0.13535094
2017-04-14T07:16:18.754,2457857.80368928,21.02727000,0.13705506
2017-04-14T07:19:27.381,2457857.80587246,21.63925333,0.19821821
2017-04-14T07:22:36.083,2457857.80805652,21.72439667,0.15830200
2017-04-14T07:25:44.594,2457857.81023836,21.30815333,0.14065869
2017-04-14T07:28:52.857,2457857.81241733,21.58185333,0.18362404